Name,minLevel,maxLevel,Times,LocationTypes,Biome,AntiBiome,Rarity
.BUG,ANY,ANY,ANY,Air,ANY,"minecraft:deep_frozen_ocean, minecraft:deep_cold_ocean, minecraft:deep_ocean, minecraft:deep_lukewarm_ocean, minecraft:frozen_ocean, minecraft:ocean, minecraft:cold_ocean, minecraft:lukewarm_ocean, minecraft:warm_ocean, terralith:desert_oasis, terralith:red_oasis, minecraft:river, terralith:warm_river, minecraft:frozen_river",0.05
.BUG,ANY,ANY,ANY,Air,ANY,NONE,0.05
Abomasnow,40,45,"DAWN, MORNING","Land, Sweet Scent","minecraft:snowy_taiga, biomesoplenty:auroral_garden, biomesoplenty:snowblossom_grove, biomesoplenty:snowy_coniferous_forest, biomesoplenty:snowy_fir_clearing, biomesoplenty:snowy_maple_forest, biomeswevegone:eroded_borealis, biomeswevegone:frosted_coniferous_forest, biomeswevegone:frosted_taiga, terralith:alpha_islands_winter, terralith:alpine_grove, terralith:siberian_grove, terralith:skylands_winter, terralith:snowy_cherry_grove, terralith:snowy_maple_forest, terralith:snowy_shield, terralith:wintry_forest, minecraft:frozen_peaks, terralith:emerald_peaks, terralith:glacial_chasm",NONE,8.0
Abomasnow,ANY,ANY,ANY,Land,"minecraft:snowy_taiga, biomesoplenty:auroral_garden, biomesoplenty:snowblossom_grove, biomesoplenty:snowy_coniferous_forest, biomesoplenty:snowy_fir_clearing, biomesoplenty:snowy_maple_forest, biomeswevegone:eroded_borealis, biomeswevegone:frosted_coniferous_forest, biomeswevegone:frosted_taiga, terralith:alpha_islands_winter, terralith:alpine_grove, terralith:siberian_grove, terralith:skylands_winter, terralith:snowy_cherry_grove, terralith:snowy_maple_forest, terralith:snowy_shield, terralith:wintry_forest, minecraft:frozen_peaks, terralith:emerald_peaks, terralith:glacial_chasm",NONE,0.3
Abomasnow,35,40,ANY,Sweet Scent,"minecraft:snowy_taiga, biomesoplenty:auroral_garden, biomesoplenty:snowblossom_grove, biomesoplenty:snowy_coniferous_forest, biomesoplenty:snowy_fir_clearing, biomesoplenty:snowy_maple_forest, biomeswevegone:eroded_borealis, biomeswevegone:frosted_coniferous_forest, biomeswevegone:frosted_taiga, terralith:alpha_islands_winter, terralith:alpine_grove, terralith:siberian_grove, terralith:skylands_winter, terralith:snowy_cherry_grove, terralith:snowy_maple_forest, terralith:snowy_shield, terralith:wintry_forest, minecraft:frozen_peaks, terralith:emerald_peaks, terralith:glacial_chasm",NONE,5.0
Abomasnow,40,45,"DAWN, MORNING",Grass,"minecraft:snowy_taiga, biomesoplenty:auroral_garden, biomesoplenty:snowblossom_grove, biomesoplenty:snowy_coniferous_forest, biomesoplenty:snowy_fir_clearing, biomesoplenty:snowy_maple_forest, biomeswevegone:eroded_borealis, biomeswevegone:frosted_coniferous_forest, biomeswevegone:frosted_taiga, terralith:alpha_islands_winter, terralith:alpine_grove, terralith:siberian_grove, terralith:skylands_winter, terralith:snowy_cherry_grove, terralith:snowy_maple_forest, terralith:snowy_shield, terralith:wintry_forest, minecraft:frozen_peaks, terralith:emerald_peaks, terralith:glacial_chasm",NONE,8.0
Abra,5,16,ANY,Curry,"minecraft:forest, minecraft:flower_forest, biomesoplenty:grove, biomesoplenty:jacaranda_glade, biomesoplenty:maple_woods, biomesoplenty:mediterranean_forest, biomesoplenty:orchard, biomesoplenty:seasonal_forest, biomesoplenty:seasonal_orchard, biomesoplenty:woodland, biomeswevegone:black_forest, biomeswevegone:maple_taiga, biomeswevegone:orchard, biomeswevegone:overgrown_woodlands, biomeswevegone:skyrise_vale, biomeswevegone:temperate_grove, biomeswevegone:zelkova_forest, terralith:sakura_grove, terralith:temperate_highlands",NONE,100.0
Abra,5,16,ANY,Grass,"minecraft:forest, minecraft:flower_forest, biomesoplenty:grove, biomesoplenty:jacaranda_glade, biomesoplenty:maple_woods, biomesoplenty:mediterranean_forest, biomesoplenty:orchard, biomesoplenty:seasonal_forest, biomesoplenty:seasonal_orchard, biomesoplenty:woodland, biomeswevegone:black_forest, biomeswevegone:maple_taiga, biomeswevegone:orchard, biomeswevegone:overgrown_woodlands, biomeswevegone:skyrise_vale, biomeswevegone:temperate_grove, biomeswevegone:zelkova_forest, terralith:sakura_grove, terralith:temperate_highlands",NONE,130.0
Abra,2,16,ANY,Land,"minecraft:forest, minecraft:flower_forest, biomesoplenty:grove, biomesoplenty:jacaranda_glade, biomesoplenty:maple_woods, biomesoplenty:mediterranean_forest, biomesoplenty:orchard, biomesoplenty:seasonal_forest, biomesoplenty:seasonal_orchard, biomesoplenty:woodland, biomeswevegone:black_forest, biomeswevegone:maple_taiga, biomeswevegone:orchard, biomeswevegone:overgrown_woodlands, biomeswevegone:skyrise_vale, biomeswevegone:temperate_grove, biomeswevegone:zelkova_forest, terralith:sakura_grove, terralith:temperate_highlands, minecraft:the_end, minecraft:small_end_islands, minecraft:end_midlands, minecraft:end_highlands, minecraft:end_barrens, biomesoplenty:end_corruption, biomesoplenty:end_reef, biomesoplenty:end_wilds, nullscape:crystal_peaks, nullscape:shadowlands, nullscape:void_barrens",NONE,130.0
Absol,5,50,MIDNIGHT,Grass,"minecraft:jagged_peaks, minecraft:stony_peaks, minecraft:snowy_slopes, minecraft:windswept_hills, minecraft:windswept_gravelly_hills, biomesoplenty:crag, biomesoplenty:highland, biomesoplenty:jade_cliffs, biomeswevegone:howling_peaks, terralith:alpine_highlands, terralith:caldera, terralith:granite_cliffs, terralith:haze_mountain, terralith:highlands, terralith:rocky_mountains, terralith:scarlet_mountains, terralith:stony_spires, terralith:windswept_spires, terralith:yosemite_cliffs",NONE,90.0
